"","wt.ref","wt.alt","gp33.ref","gp33.alt","ad9mer.ref","ad9mer.alt","adfl.ref","adfl.alt","countsfortmm$gene"
"1",143939.393939394,56151.2415349887,128132.118451025,49436.4247577615,33771.9809013625,34295.1750236518,152308.043875686,40926.0024803638,"Reps1"
"2",504996.776273372,447516.930022573,526082.004555809,462131.698635555,571794.573192034,293874.17218543,523880.255941499,319691.332506545,"Rpl18"
"3",17891.6827852998,60383.7471783296,17881.5489749431,59916.946806407,20729.0089670432,40681.1731315043,19195.6124314442,44784.3461485462,"Dpagt1"
"4",70921.9858156028,118510.158013544,66856.4920273349,110737.591457386,78257.8316059159,75804.1627246925,84095.0639853748,96734.1876808599,"Aatf"
"5",179239.200515796,269469.525959368,181207.28929385,270318.37057544,237335.507161989,206953.642384106,156992.68738574,162601.62601626,"Cpne1"
"6",0,3386.00451467269,0,6327.86236899347,0,2838.22138126774,0,1515.7778696431,"Med12"
"7",43681.4958091554,44582.3927765237,40660.5922551253,41131.1053984576,14556.8883195528,8514.66414380322,9940.58500914077,7027.69739561802,"Adpgk"
"8",39329.4648613798,0,39179.9544419134,0,43554.209852102,0,53587.7513711152,0,"Irgq"
"9",0,0,0,0,0,337038.789025544,0,326719.029902163,"mut.adg"
